AcutalCausalTriples;Case5;Case6;Case7;Case8;Case9;Case10;Triple
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Acne caused hormonal imbalance
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Acne caused irritants
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Acne caused oily skin
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Acne is hormonal imbalance
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Acne is irritants
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Acne is oily skin
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Alcohol cause suicide
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Asthma causes narrowing
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Asthma is narrowing
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Asthma swelling narrowing
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Cancer causes illness
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Cancer is illness
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Dehydration is death
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Depression is suicide
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Endometriosis is infertility
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Fainting is unconsciousness
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Fog caused delays
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Hiccups are spasm
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Hiccups caused spasm
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Infectious diseases are parasites
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Infectious diseases caused parasites
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Inhalation fumes irritation
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Inhalation produces irritation
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Joint problems are osteoarthitis
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Joint problems caused osteoarthitis
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Landslides caused deaths
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Lesions affecting hemiparesis
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Lesions caused hemiparesis
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Lesions caused leg weakness
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Lesions sparing hemiparesis
1.0;0.0;1.0;1.0;1.0;0.0;0.0; Methadone gives buzz
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Neuralgia is headache
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Power generated reaction
1.0;0.0;0.0;0.0;0.0;0.0;0.0; Power is reaction
1.0;1.0;1.0;1.0;1.0;1.0;0.0; Pressure walking friction
1.0;1.0;1.0;1.0;1.0;1.0;1.0; Rain caused cancellation
