Case5;Case6;Case7;Case8;Case9;Case10;Actual;Triples
1;1;1;1;1;1;1;influenza caused virus
1;1;1;1;1;1;1;effect achieved way
1;1;1;1;1;1;1;viruses caused infections
1;1;1;1;1;1;0;blisters appear herpes simplex virus
1;1;1;1;1;1;0;blisters caused herpes simplex virus
1;1;1;1;1;1;0;circuit comprises converter
1;1;1;1;1;1;0;Roundworms caused parasite
1;1;1;1;0;1;1;subject imply implication
1;1;1;1;1;0;0;talent emanated village
1;1;1;1;1;1;0;narrative comprises interplay
1;1;1;1;1;1;1;murders result conviction
1;1;1;1;1;1;1;vibrations caused movement
1;1;1;1;1;1;0;regulations entered force
1;1;1;1;1;1;0;clubs falling ownership
1;1;1;1;1;1;0;station receives device
1;1;1;1;1;1;1;spills caused hurricane
1;1;1;1;1;1;1;diseases caused gene mutations
1;1;1;1;1;1;1;response caused ripple
1;1;1;1;1;1;0;air filled smell
1;1;1;1;1;1;1;receiver outputting tone
1;1;1;1;1;1;0;speech criticised idea
1;1;1;1;1;1;0;Asteroid threatened disaster
1;1;1;1;1;1;0;tales concerning concerns
1;1;1;1;1;1;0;documents troubling strategies
1;1;1;1;1;1;0;implications indicated publication
1;1;1;1;0;0;0;model derived example
1;1;1;1;1;1;0;analyzer identifies method
1;1;1;1;0;1;0;analyzer using method
1;1;1;1;1;1;1;Rain caused cancellation
1;0;1;1;1;0;0;containers fell dam
1;1;1;1;1;1;1;crash caused attack
1;1;1;1;1;1;0;Conditions criticised report
1;1;1;1;1;1;0;sound captures combination
1;1;1;1;1;0;0;drilling threatens chemicals
1;0;1;0;1;0;0;information came press release
1;1;1;1;1;1;1;damage caused misuse
1;1;1;1;1;1;1;airstrike resulted explosions
1;1;1;1;1;1;0;Barrages make energy
1;1;1;1;1;1;1;conflict caused wastewater
1;1;1;1;1;1;0;car using engine
1;1;1;1;1;1;1;damage caused tornado
1;1;1;1;1;1;0;downturn made people
1;1;1;1;1;1;0;activation done source
1;1;1;1;1;1;0;article explains difficulties
1;1;1;1;0;1;1;colors caused dispersion
1;1;1;1;1;0;0;articles identified promotion
1;1;1;1;1;1;0;question raised announcement
1;1;1;1;1;1;1;pain caused strains
1;1;1;1;1;1;0;storm moving town
1;1;1;1;1;1;1;damage caused earthquake
1;0;1;1;0;0;0;Air blown mouthpiece
1;1;1;1;1;1;1;misinterpretation caused word
1;1;1;1;1;1;1;damage caused bombing
1;1;1;1;1;1;1;death caused tsunami
1;1;1;1;1;1;1;leakage caused person
1;1;1;1;1;1;1;fear suffered stab
1;1;1;1;1;1;1;fear caused stab
1;1;1;1;1;1;0;topic came discussion
1;1;1;1;1;1;1;suffering caused embargo
1;1;1;1;1;1;0;attacker killed instrument
1;0;1;1;0;0;0;company mocked version
1;1;1;1;1;1;1;anger caused abuse
1;1;1;1;1;1;0;advertising inform selections
1;0;1;1;1;1;0;leaflet informing qualities
1;1;1;1;1;1;1;strike resulted death
1;0;1;0;1;0;0;album completed singer
1;1;1;1;1;1;1;fear caused power
1;1;1;1;1;1;1;Tides caused gravitational pull
1;1;1;1;1;1;1;Stroke leading death
1;1;1;1;1;1;1;pain caused torment
